,Name,Rating,Reviews,Category,Location,Contact Number,Website,Description,Meta
49,Apex Car Rentals Wellington City,4.4,154,Car rental agency,"Wellington, New Zealand",+64 4 385 2163,https://www.apexrentals.co.nz/rental-car-locations/wellington-city-branch,"""Apex Car Rentals Wellington City is centrally located in downtown Wellington, within easy walking distance of Te Papa Museum and the waterfront.

Book online and choose from a wide selection of rental vehicles including small economy cars, mid-sized and full sized sedans, station wagons, 4WD's, and people movers.

We pride ourselves on delivering exceptional service and respecting the cultural diversity of our customers.

Try Apex Wellington City for your next car hire and discover why our customers rate us the best car rental company in New Zealand.""","4.4
(154) · Car rental agency"
50,James Blond Rentals,4.6,824,Car rental agency,"Auckland, New Zealand",+64 800 525 663,http://www.jamesblond.co.nz/,"""'James Blond Rentals' is a well trusted name when it comes to car and truck rental company in Auckland. We've been serving New Zealanders, and customers from around the world for over 20 years. Our single aim is to give you the very best Travelling or Moving experience possible. We specialize in rental cars, trucks, cargo vans, minivans, and trailers. We are based in Glen Eden, Auckland, and also provide 24 hours rental car service from Auckland Airport. With a diverse fleet of vehicles, including hatchbacks, SUV, station wagons and sedans, 7 seater SUV, 8, 10 & 12 minivans, 19 seater bus, box trucks, flat decks, Utes, Cargo vans, trailers, and we have a vehicle for every purpose and for everyone.""","4.6
(824) · Car rental agency"
51,Mint Car Rentals - Car hire Auckland Airport,4.5,82,Car rental agency,"Auckland, New Zealand",+64 800 842 424,http://www.mintrentals.co.nz/,"""Located a few minutes from the Auckland airport terminals, our Auckland Airport car rental service offers a hassle-free start to your New Zealand adventure. Choose from an extensive range of vehicles, including eco-friendly hybrid hatchback or sedan, 4x4 Station wagon for the extra boot space and if you’re travelling with friends and family you can hire our 8 seaters. With our easy online booking system, secure payment options, and flexible rental terms, Mint Auckland car rental is here to assist. We want you to explore our beautiful Aotearoa in your own comfort. We keep our prices low and competitive so you can see more , for less. Book your Auckland airport car rental experience with Mint Car rentals today !!""","4.5
(82) · Car rental agency"
52,Orange Rentals - Christchurch Airport Rental Cars New Zealand,4.3,40,Car rental agency,"Christchurch, New Zealand",+64 3 961 5880,http://www.orangerentals.co.nz/,N/A,"4.3
(40) · Car rental agency"
53,Pegasus Rental Cars Wanganui,4.8,87,Car rental agency,"Whanganui, New Zealand",+64 6 345 0088,https://www.rentalcars.co.nz/pegasus-locations/whanganui/,N/A,"4.8
(87) · Car rental agency"
54,A Rentals NZ Ltd,4.9,74,Car rental agency,"Auckland, New Zealand",+64 9 600 6660,http://www.arentalscar.com/,"""Rental Cars Company provide service NewZealand Wide

Auckalnd: 27 Aintree Ave Mangere

Christchuch: 153 Orchard Road Harewood

Queenstown: 77 Glenda Drive Frankton

Provide different range of Vehicle

Small Cars

4WD SUV

Luxury Van 7-8 Seats

MINI Van 12 Seats

Medium Bus 20-20 Seats""","4.9
(74) · Car rental agency"
55,EZU Car Rental,4.2,369,Car rental agency,"Christchurch, New Zealand",+64 210 438 288,http://www.ezucarrental.com/,"""EZU Car Rental - The Perfect Car for Your Journey

Discover the perfect car for your journey at EZU Car Rental. We offer a wide range of top-quality vehicles to suit all your travel needs. Our friendly and knowledgeable staff is dedicated to providing exceptional customer service, ensuring a hassle-free rental experience from start to finish.

In addition to our regular operating hours, we also offer after-hours car pick-up for your convenience. Please note that an After-Hours Fee applies for this service.

Choose EZU Car Rental for a stress-free and memorable journey. Contact us today to find the perfect car for your next adventure.""","4.2
(369) · Car rental agency"
56,Hertz Christchurch Downtown,4.5,30,Car rental agency,"Christchurch, New Zealand",+64 3 365 2195,https://www.hertz.com.au/rentacar/location/newzealand/christchurch/CHCC60?utm_campaign=gmb-Hertz-Car-Rental---Christchurch-Downtown&utm_medium=gmb-websitelink&utm_source=Google,"""Hertz is a leader in the car rental industry with a 100-year history and many firsts and excellence in the areas of service, innovation, selection and safety. Operating in over 50 locations in New Zealand, Hertz has a diverse and modern fleet to meet all its customers’ business and leisure travel needs and can offer an extraordinary driving experience in comfort and style""","4.5
(30) · Car rental agency"
57,Europcar Wellington Airport,4.4,229,Car rental agency,"Wellington, New Zealand",+64 4 380 6617,https://www.europcar.co.nz/en-nz/stations/new-zealand/wellington-airport?utm_campaign=WLGT01&utm_medium=organic&utm_source=local,"""Welcome to Europcar Wellington car rental agency! Friendly service, new cars and competitive prices are part of our daily offer. Whether you want to rent a car for business or pleasure, whether you need a car (city, family or luxury car), a van or or a truck, Europcar has the rental vehicle for you. Car and van rental is simplified with Europcar’s online booking on our website or app. Collecting and dropping off your vehicle has never been easier. Enjoy your ride!""","4.4
(229) · Car rental agency"
58,GO Rentals - Nelson Airport,5.0,92,Car rental agency,"Nelson, New Zealand",+64 9 974 1598,https://www.gorentals.co.nz/rental-car-locations/nelson/?utm_source=Google_Maps&utm_medium=organic&utm_campaign=Google_Maps-Free_Listing_NEL&utm_content=NelsonAirport,"""As one of New Zealand’s largest independent Kiwi car rental companies, we’re thrilled to offer our award-winning services with your Nelson car hire.

Our Nelson Airport car rental branch is conveniently located right outside the airport terminal. We're the first booth in the car rental kiosk building.
Cruise through stunning landscapes with our modern fleet, featuring everything from eco-friendly EVs including the Tesla Model 3 and Hybrids to spacious SUVs, all at affordable prices.
We'll take care of the important stuff and point out the fun stuff you can do while on the road, freeing you up to enjoy the journey. GO love every moment with the perfect car rental in Nelson.""","5.0
(92) · Car rental agency"
59,Bargain Rental Cars - Henderson,4.7,53,Car rental agency,"Auckland, New Zealand",+64 9 941 4110,https://www.bargainrentalcars.co.nz/,"""When you rent a vehicle from Bargain Rental Cars - Henderson, you are supporting a family business 100% New Zealand owned and operated for over 20 years.

You will always be provided with a personal service that ensures you get a rental vehicle that is not only a pleasure to drive, but gives you value for money.

Services we provide: Car rental, van rental, minivan rental & people mover rental

If you are looking for a car rental agency in Henderson, look no further. Bargain Rental Cars has the friendliest service in town and maybe the best prices too.

Call us today on 09-941 4110 or book online

Remember, for cheap and reliable rental cars in Henderson & West Auckland, think Bargain Rental Cars""","4.7
(53) · Car rental agency"
60,"Rite Price Rentals (Tauranga & Port) - Car, Van & Truck Rentals",4.9,351,Car rental agency,"Tauranga, New Zealand",+64 7 575 2726,https://www.ritepricerentals.co.nz/,"""Affordable & Reliable Rental Vehicles in Tauranga

Book your rental car or van in Tauranga from one of our two friendly and convenient branches (Tauranga City & Airport). Rite Price Rentals offers a wide variety of rental cars and vans to suit every budget. The Team and Rite Price Rentals will always go the extra mile to ensure you have the best possible experience.""","4.9
(351) · Car rental agency"
61,Apex Car Rentals Christchurch City,4.3,159,Car rental agency,"Christchurch, New Zealand",+64 3 363 3001,https://www.apexrentals.co.nz/rental-car-locations/christchurch-city-branch,"""Choose Apex Car Rentals Christchurch City for your next car hire and discover why our customers rate us the best car hire company in New Zealand. Apex consistently receives 5-stars for the booking process, transperancy of costs and fees, vehicle availablity, value for money, customer service and overall satisfaction.""","4.3
(159) · Car rental agency"
62,Yes Rentals Christchurch Branch,4.5,185,Car rental agency,"Christchurch, New Zealand",+64 3 420 2878,http://www.yesrentals.co.nz/,"""Welcome to our young and vibrant car rental company in New Zealand!
At our company, we understand that renting a car is more than just a transaction, it's an experience. That's why we go the extra mile to provide exceptional customer service and make sure that every customer has a stress-free and enjoyable rental experience.

If wanting to discover the stunning landscapes of New Zealand, we have a wide range of vehicles to suit your needs and budget. Renting a car has never been easier with our easy online booking system and flexible rental options.

So why wait? Book your next car rental with us and let us help you make the most of your time in New Zealand!""","4.5
(185) · Car rental agency"
63,Enterprise Rent-A-Car - Queenstown Airport,3.8,131,Car rental agency,"Queenstown, New Zealand",+64 9 870 3330,https://www.enterpriserentacar.co.nz/en/car-rental/locations/new-zealand/queenstown-airport-kze2.html?mcid=yext:245709&utm_source=google&utm_medium=organic&utm_campaign=local&utm_id=ZQNT,"""Enterprise Rent-A-Car in Queenstown is one of eight branches in New Zealand. This branch, along with another in Queenstown, is part of a global network of over 9,500 locations across 90 countries. Choose the best car rental in Queenstown, with a wide range of vehicles, including 4WDs, hybrids, and more, all at an affordable price. We offer one-way rentals, allowing you to pick up your rental car in Queenstown and drop it off at another Enterprise Rent-A-Car New Zealand branch. Our generous Business Car Rental program and friendly team are here to assist you with any questions. For the best car hire in Queenstown, including car rental at Queenstown Airport, choose Enterprise Rent-A-Car. We hope to see you soon!""","3.8
(131) · Car rental agency"
64,Hertz Car Rental Wellington,4.1,94,Car rental agency,"Wellington, New Zealand",+64 4 384 3809,https://www.hertz.co.nz/p/car-rentals/new-zealand/wellington/wellington-downtown?utm_source=google&utm_medium=local&utm_campaign=gmb_listing&utm_content=wellington%20downtown,N/A,"4.1
(94) · Car rental agency"
65,Avis Car and Truck Rental Auckland City,3.9,92,Car rental agency,"Auckland, New Zealand",+64 9 379 2650,https://www.avis.co.nz/en/locations/nz/auckland/ai1?utm_source=GMB&utm_medium=organic&utm_campaign=Auckland-Downtown,"""Discover the range of car rentals available in Auckland City city with Avis. Our Auckland City branch offers small and medium cars for a busy day in city, luxurious premium models for the corporate traveller and SUVs or 4WDs that would make the perfect accompaniment for a family holiday. Plus Avis also offers electric car rentals, and a full range of utes, vans, and moving trucks for various commercial needs. Choose Avis for great service and best value truck and car hire in Auckland City.""","3.9
(92) · Car rental agency"
66,Ace Rental Cars Auckland City - Victoria Street West,3.8,133,Car rental agency,"Auckland, New Zealand",+64 800 502 277,https://www.acerentalcars.co.nz/locations/auckland-city/?utm_source=google&utm_medium=local&utm_campaign=gmb_listing&utm_content=auckland_city_Vic,"""We are an established deep-value car rental company and have been around for 30 years. Founded in 1987 in Auckland, New Zealand, we identified the consumer need for a budget-focused rental car company.

We now operate seventeen branches across fifteen cities throughout Australia and New Zealand. In addition to the core fleet of older vehicles, the company also provides a Premium fleet, featuring brand new vehicles with creature comforts at an attractive price.

We stick to our mission of providing the best value in rentals in Australia and New Zealand
Our focus on simplicity is underpinned by our values: friendly, confident, reliable, and straightforward.

We’re straight-talking and down to earth, so book your next rental car with us.""","3.8
(133) · Car rental agency"
67,Enterprise Rent-A-Car - Auckland City,4.7,7,Car rental agency,"Auckland, New Zealand",+64 9 870 3330,https://www.enterpriserentacar.co.nz/en/car-rental/locations/new-zealand/auckland-city-kze7.html?mcid=yext:245709&utm_source=google&utm_medium=organic&utm_campaign=local&utm_id=AKLC,"""Enterprise Rent-A-Car in Auckland City is one of eight Enterprise Rent-A-Car branches in New Zealand. This is one of two branches in Auckland, the other being at the airport. It's also part of a network of over 9,500 branches and 90 countries worldwide. Choose the best car hire in Auckland City, with vehicles across multiple ranges, including 4WDs, hybrids and more. All at an affordable price! We offer one-way rentals, allowing you to pick up your car in one location and drop it off at another Enterprise Rent-A-Car New Zealand branch. We also have a generous Business Car Rental program. Our friendly team is happy to answer any of your questions. We hope to see you soon!""","4.7
(7) · Car rental agency"
68,Hitch Car Rentals,4.2,543,Car rental agency,"Auckland, New Zealand",+64 9 256 0546,https://www.snaprentals.co.nz/hitch-car-rentals,N/A,"4.2
(543) · Car rental agency"
69,Apex Car Rentals Wellington Airport,4.5,171,Car rental agency,"Wellington, New Zealand",+64 4 388 6581,https://www.apexrentals.co.nz/rental-car-locations/wellington-airport-branch,"""Apex Car Rentals Wellington Airport is located 2 minutes from the terminal building and we provide a free shuttle service to our location.

Book online and choose from a wide selection of rental vehicles including small economy cars, mid-sized and full sized sedans, station wagons, 4WD's, and people movers.

We pride ourselves on delivering exceptional service and respecting the cultural diversity of our customers.

Try Apex Wellington Airport for your next car hire and discover why our customers rate us the best car rental company in New Zealand.""","4.5
(171) · Car rental agency"
70,VIPHIRE CAR RENTAL 新西兰华人租车公司,4.5,37,Car rental agency,"Auckland, New Zealand",+64 800 847 888,https://www.viphire.co.nz/,N/A,"4.5
(37) · Car rental agency"
71,Bargain Rental Cars - Onehunga,4.8,70,Car rental agency,"Auckland, New Zealand",+64 9 636 5224,https://www.bargainrentalcars.co.nz/,"""When you rent a vehicle from Bargain Rental Cars - Onehunga, you are supporting a family business 100% New Zealand owned and operated for over 20 years.

You will always be provided with a personal service that ensures you get a rental vehicle that is not only a pleasure to drive, but gives you value for money.

Services we provide: Car rental, van rental, minivan rental & people mover rental

If you are looking for a car rental agency in Onehunga and surround areas, look no further. Bargain Rental Cars has the friendliest service in town and maybe the best prices too.

Call us today on 09-636 5224 or book online

Remember, for cheap and reliable rental cars in Onehunga, think Bargain Rental Cars""","4.8
(70) · Car rental agency"
72,RaD Car Hire Taupo,4.7,142,Car rental agency,"Taupō, New Zealand",+64 7 378 2740,https://www.radcarhire.co.nz/branches/car-rental-taupo?utm_source=google+&utm_medium=organic&utm_campaign=gmb&utm_content=taupo,"""We are a locally owned Taupo rental car company with a branch at the Taupo Airport. We have a mix of economy hatchbacks to sedans, SUVs, 12-seater vans, and furniture trucks, providing quality car rental Taupo-wide. Please watch our website as we add a new class of Hybrid cars. We also have car seats for hire, vehicles with towbars, and can add bike racks and ski racks for the winter season. We can arrange after-hours pick-ups and returns. We’ll provide a pick-up service from the bus station or motels with your Taupo car hire""","4.7
(142) · Car rental agency"
73,New Zealand Rent A Car Greymouth - Cheap Van Rentals,4.3,7,Car rental agency,"Greymouth, New Zealand",+64 3 768 0379,https://www.nzrentacar.co.nz/locations/greymouth/,"""Our Greymouth car hire branch is part of the nationwide New Zealand Rent A Car network, offering affordable West Coast car rental options from our handy central location in Greymouth. Our company offers you the unique convenience of nationwide coverage, combined with the personal service of independent owner-operators.

Situated on Tainui Street, close to the town centre, NZ Rent A Car Greymouth’s location is great for easy access to accommodation, shopping, restaurants, the KiwiRail TranzAlpine railway station and the town’s local attractions.""","4.3
(7) · Car rental agency"
74,Hertz Car Rental Queenstown Airport,3.8,109,Car rental agency,"Queenstown, New Zealand",+64 3 442 4106,https://www.hertz.co.nz/p/car-rentals/new-zealand/queenstown/queenstown-airport?utm_source=google&utm_medium=local&utm_campaign=gmb_listing&utm_content=queenstown%20airport,N/A,"3.8
(109) · Car rental agency"
75,RaD Car Hire New Plymouth,4.7,46,Car rental agency,"New Plymouth, New Zealand",+64 6 757 5362,https://www.radcarhire.co.nz/branches/car-rental-new-plymouth?utm_source=google+&utm_medium=organic&utm_campaign=gmb&utm_content=new-plymouth,"""RaD Car Hire New Plymouth offers a great variety of vehicles - cars, vans, people movers, and trucks all for great exceptional value. Short-term & long-term New Plymouth car rental rates available. We are locally owned and operated. James and Trevor have been co-owners of RaD car rental New Plymouth since 2002. Choose from our great selection of late-model vehicles. We also have mini-buses for the sports clubs, schools and for group outings around the New Plymouth district and a great selection of commercial hire cars. We're here to help make your trip a pleasant and stress-free one, so if you have any questions please feel free to contact us.""","4.7
(46) · Car rental agency"
76,Bargain Rental Cars - Christchurch,4.2,95,Car rental agency,"Christchurch, New Zealand",+64 3 358 9342,https://www.bargainrentalcars.co.nz/,"""When you rent a vehicle from Bargain Rental Cars - Christchurch, you are supporting a family business 100% New Zealand owned and operated for over 20 years.

You will always be provided with a personal service that ensures you get a rental vehicle that is not only a pleasure to drive, but gives you value for money.

Services we provide: Car rental, van rental, minivan rental & people mover rental

If you are looking for a car rental agency in Christchurch, look no further. Bargain Rental Cars has the friendliest service in town and maybe the best prices too.

Call us today on 03-358 9342 or book online

Remember, for cheap and reliable rental cars in Christchurch, think Bargain Rental Cars""","4.2
(95) · Car rental agency"
77,New Plymouth Airport Rental Cars,4.9,162,Car rental agency,"New Plymouth, New Zealand",+64 6 242 1110,http://newplymouthairportrentalcars.co.nz/,N/A,"4.9
(162) · Car rental agency"
78,RaD Car Hire Napier,4.9,107,Car rental agency,"Napier, New Zealand",+64 6 834 0688,http://www.radcarhire.co.nz/branches/napier,"""We are a locally owned and operated family business positioned at Hawkes Bay Airport for over 15 years.
Here at RaD Car Hire Napier not only do we provide quality vehicles at an affordable price, we also add outstanding customer service for free.
Whether you require a vehicle for a day, a month or anything in-between we can tailor a hire to suit your needs.
So for your next vehicle hire whether it is for business or pleasure please give us a call 06 834 0688 or 0800 73 68 23 or visit our website and request a booking online.""","4.9
(107) · Car rental agency"
79,Europcar Auckland City,3.7,215,Car rental agency,"Auckland, New Zealand",+64 9 379 5080,https://www.europcar.co.nz/en-nz/stations/new-zealand/auckland-city?utm_campaign=AKLC01&utm_medium=organic&utm_source=local,"""Welcome to Europcar Auckland car rental agency! Friendly service, new cars and competitive prices are part of our daily offer. Whether you want to rent a car for business or pleasure, whether you need a car (city, family or luxury car), a van or or a truck, Europcar has the rental vehicle for you. Car and van rental is simplified with Europcar’s online booking on our website or app. Collecting and dropping off your vehicle has never been easier. Enjoy your ride!""","3.7
(215) · Car rental agency"
80,Hertz Car Rental Auckland Airport,3.5,285,Car rental agency,"Auckland, New Zealand",+64 9 256 8692,https://www.hertz.co.nz/p/car-rentals/new-zealand/auckland/auckland-airport?utm_source=google&utm_medium=local&utm_campaign=gmb_listing&utm_content=auckland%20airport,N/A,"3.5
(285) · Car rental agency"
81,Budget Car & Truck Rental Hamilton City,4.2,19,Car rental agency,"Hamilton, New Zealand",+64 7 838 3585,https://www.budget.co.nz/en/locations/nz/hamilton-ni/hl1?utm_source=gmb&utm_medium=organic&utm_campaign=hamilton-downtown,"""Explore the diverse range of cheap car and truck hire vehicles at our Hamilton City branch with Budget. Whether navigating the bustling city or embarking on a holiday, secure the best car, van, and truck hire deals at Budget Car and Truck hire in Hamilton. With over 40 car hire locations in New Zealand, Budget ensures you're Good to Go. Choose Budget Car Rentals for a seamless and affordable experience, perfect for those seeking reliable and budget-friendly car rentals in Hamilton.""","4.2
(19) · Car rental agency"
82,Enterprise Rent-A-Car - Wellington Airport,4.0,92,Car rental agency,"Wellington, New Zealand",+64 9 870 3330,https://www.enterpriserentacar.co.nz/en/car-rental/locations/new-zealand/wellington-international-airport-kze3.html?mcid=yext:245709&utm_source=google&utm_medium=organic&utm_campaign=local&utm_id=WLGT,"""Enterprise Rent-A-Car in Wellington Airport is one of eight Enterprise Rent-A-Car branches in New Zealand. And is part of a network of over 9,500 branches and 90 countries worldwide. Join the largest network of rental cars, with vehicles across multiple ranges, including: SUVs, hybrids and trucks. All at an affordable price. We offer one-way rentals, where you can pick up your car in one location and drop it off at another Enterprise Rent-A-Car New Zealand branch. As well as business rentals. Our customer service team is happy to answer any of your questions. We hope to see you soon.""","4.0
(92) · Car rental agency"
83,Ace Rental Cars Auckland Airport Car Hire,4.0,284,Car rental agency,"Auckland, New Zealand",+64 800 502 277,https://www.acerentalcars.co.nz/locations/auckland-airport/?utm_source=google&utm_medium=local&utm_campaign=gmb_listing&utm_content=auckland_airport,"""We are an established deep-value car rental company and have been around for 30 years. Founded in 1987 in Auckland, New Zealand, we identified the consumer need for a budget-focused rental car company.

We now operate seventeen branches across fifteen cities throughout Australia and New Zealand. In addition to the core fleet of older vehicles, the company also provides a Premium fleet, featuring brand new vehicles with creature comforts at an attractive price.

We stick to our mission of providing the best value in rentals in Australia and New Zealand
Our focus on simplicity is underpinned by our values: friendly, confident, reliable, and straightforward.

We’re straight-talking and down to earth, so book your next rental car with us.""","4.0
(284) · Car rental agency"
84,Auckland Vehicle Rentals - Truck & Van Hire Auckland,4.7,146,Car rental agency,"Auckland, New Zealand",+64 9 827 7620,https://aucklandvehiclerentals.co.nz/?utm_source=google&utm_medium=organic&utm_campaign=gmb_newlynn,"""Auckland Vehicle Rentals specialise in having the right rental vehicle at the right price.
And we have almost 20 years’ experience doing exactly that, serving our local markets of West Auckland and North Shore City, as well as offering deliveries to Auckland airport, central city accommodation, and ferry and cruise ship terminals.
Our range of vehicles is continuously growing: cars from late model SUVs to Cheap & Cheerful runabouts, passenger vans up to 12 seats, and a variety of commercial vans and light trucks – all driveable on a standard car licence. We genuinely believe we have the right vehicle for almost every need!""","4.7
(146) · Car rental agency"
85,SIXT Rent a Car,4.1,73,Car rental agency,"Wellington, New Zealand",+64 4 555 0523,https://www.sixt.nz/car-hire/new-zealand/wellington/wellington-airport/?xaid=9141&c1=NZ&c2=wellington&c3=wellington-airport&fir=1&utm_source=google_business&utm_medium=organic,"""Welcome to SIXT Rent a Car – Wellington Airport, the premier provider of luxury car rental services. With a long-standing history of providing flexible vehicle solutions and an inspiring customer experience, SIXT stands out from its competitors. Our competitive rates for short-term or monthly car rentals and cutting-edge technology make us a one-stop shop for mobility. Discover New Zealand's stunning beauty and take a road trip from Wellington to the Coromandel Peninsula - a stunning landscape of beaches and lush forests. Out of hours pick up: Pick-up out of opening hours is possible for an additional charge. This service is bookable on request. Please provide your flight number, e-mail address and mobile number. Out of hours return: Out...""","4.1
(73) · Car rental agency"
86,Apex Car Rentals Auckland City,3.7,207,Car rental agency,"Auckland, New Zealand",+64 9 307 1063,https://www.apexrentals.co.nz/rental-car-locations/auckland-city-branch,N/A,"3.7
(207) · Car rental agency"
87,Hertz Car Rental Picton Ferry Terminal,4.4,46,Car rental agency,"Picton, New Zealand",+64 3 520 3044,https://www.hertz.co.nz/p/car-rentals/new-zealand/picton/picton-ferry-terminal?utm_source=google&utm_medium=local&utm_campaign=gmb_listing&utm_content=picton%20ferry%20terminal,N/A,"4.4
(46) · Car rental agency"
88,RaD Car Hire Wellington,4.7,89,Car rental agency,"Wellington, New Zealand",+64 4 387 9931,https://www.radcarhire.co.nz/branches/car-rental-wellington?utm_source=google+&utm_medium=organic&utm_campaign=gmb&utm_content=wellington,"""RaD Car Hire Wellington is located just 5 minutes from Wellington Airport. We offer trusted and customer service-focused car rental Wellington-wide at cheap prices. Our Wellington rental car company can cover your every car hire need and has a vehicle suited to all lifestyles. You may just require a small hatchback for local city driving, right up to requiring a 12 seater passenger rental van to transport you and your family and friends to a special occasion, or a large station wagon as you explore the wonderful sights Wellington has to offer.""","4.7
(89) · Car rental agency"
89,Avis Car and Truck Rental Blenheim Airport,4.8,10,Car rental agency,"Blenheim, New Zealand",+64 3 572 8328,https://www.avis.co.nz/en/locations/nz/blenheim/bhe?utm_source=gmb&utm_medium=organic&utm_campaign=blenheim-airport,"""Welcome to Avis at Blenheim Airport, your go-to for car rental in Blenheim, New Zealand. Explore our diverse range of new hire vehicles designed for every traveller. From compact and midsize cars for city tours to luxurious models offering comfort and style, and spacious SUVs or 4WDs perfect for family getaways. Avis also provides a full fleet of utes, vans, and moving trucks for any need. Choose Avis for exceptional service and a variety of vehicles, ensuring a great travel experience at every turn.""","4.8
(10) · Car rental agency"
90,Pegasus Car Rentals Nelson,4.7,93,Car rental agency,"Nelson, New Zealand",+64 3 539 4949,https://www.rentalcars.co.nz/pegasus-locations/nelson/,"""Pegasus Rental Cars Nelson is locally owned and operated, providing legendary service and the friendliest of welcomes! Sarah and the team can assist with all your car rental needs and give great advice on the best things to see and do in Nelson. Pegasus also has the best car rental rates in town, so why would you rent anywhere else?""","4.7
(93) · Car rental agency"
91,Budget Car & Truck Rental Auckland City,3.5,70,Car rental agency,"Auckland, New Zealand",+64 9 976 2270,https://www.budget.co.nz/en/locations/nz/auckland-ni/ak3?utm_source=GMB&utm_medium=organic&utm_campaign=Auckland-Downtown,"""Explore the diverse range of cheap car and truck hire vehicles at our Auckland City branch with Budget. Whether navigating the bustling city or embarking on a holiday, secure the best car, van, and truck hire deals at Budget Car and Truck hire in Auckland. With over 40 car hire locations in New Zealand, Budget ensures you're Good to Go. Choose Budget Car Rentals for a seamless and affordable experience, perfect for those seeking reliable and budget-friendly car rentals in Auckland.""","3.5
(70) · Car rental agency"
92,Apex Car Rentals Christchurch Airport,4.0,604,Car rental agency,"Christchurch, New Zealand",+64 3 357 4536,https://www.apexrentals.co.nz/rental-car-locations/christchurch-airport-branch,"""Choose Apex Car Rentals Christchurch Airport for your next car hire and discover why our customers rate us the best car hire company in New Zealand. Apex consistently receives 5-stars for the booking process, transperancy of costs and fees, vehicle availablity, value for money, customer service and overall satisfaction.""","4.0
(604) · Car rental agency"
93,Hertz Car Rental Auckland Northshore,3.9,38,Car rental agency,"Auckland, New Zealand",+64 9 418 3742,https://www.hertz.co.nz/p/car-rentals/new-zealand/auckland-northshore/auckland-northshore?utm_source=google&utm_medium=local&utm_campaign=gmb_listing&utm_content=auckland%20northshore,N/A,"3.9
(38) · Car rental agency"
94,NZ Discount Car Rentals,3.4,156,Car rental agency,"Auckland, New Zealand",+64 800 179 5179,http://www.nzdcr.co.nz/,N/A,"3.4
(156) · Car rental agency"
95,Apex Car Rentals Nelson Airport,4.3,124,Car rental agency,"Nelson, New Zealand",+64 3 547 6800,https://www.apexrentals.co.nz/rental-car-locations/nelson-airport-branch,"""Apex Car Rentals Nelson Airport is located 2 minutes from the terminal building and we provide a free shuttle service to our location.

Book online and choose from a wide selection of rental vehicles including small economy cars, mid-sized and full sized sedans, station wagons, 4WD's, and people movers.

We pride ourselves on delivering exceptional service and respecting the cultural diversity of our customers.

Try Apex Nelson Airport for your next car hire and discover why our customers rate us the best car rental company in New Zealand.""","4.3
(124) · Car rental agency"
96,Ezi Car Rental - Christchurch City,4.4,17,Car rental agency,"Christchurch, New Zealand",+64 800 545 000,http://www.ezicarrental.co.nz/,"""Established in 1998, we are one of New Zealand’s largest rental car operators, with over 25 years’ experience in the New Zealand rental car industry.
We are a team of over 200 passionate individuals, across 24 convenient locations nationwide. Our aim is to provide the greatest rental experience possible across Aotearoa, and to make it ezi!""","4.4
(17) · Car rental agency"
97,SIXT Car Rental Christchurch Airport,4.0,107,Car rental agency,"Christchurch, New Zealand",+64 800 237 637,https://www.sixt.nz/car-hire/new-zealand/christchurch/christchurch-airport/?xaid=9141&c1=NZ&c2=christchurch&c3=christchurch-airport&fir=1&utm_source=google_business&utm_medium=organic,"""Welcome to SIXT Car Rental Christchurch Airport. Conveniently located in-terminal at Christchurch Airport we offer a wide range of flexible vehicle solutions to cater to your ever-changing mobility needs. Look for our bright orange sign just past Baggage Claim or visit our Sixt NZ website to check out the largest range of premium and luxury rentals on offer in New Zealand.

We are the only rental car company in New Zealand to feature such a large range of trusted premium, luxury and budget friendly vehicles. The majority of our fleet are less than 6 months old and our core range consists of Audi, Skoda, Cupra, Polestar, Range Rover, Toyota & Volkswagen vehicles.""","4.0
(107) · Car rental agency"
98,EZU Car Rental,3.9,185,Car rental agency,"Auckland, New Zealand",+64 22 182 5752,http://www.ezucarrental.com/,N/A,"3.9
(185) · Car rental agency"
99,Europcar Napier Airport,4.6,27,Car rental agency,"Napier, New Zealand",+64 6 835 8818,https://www.europcar.co.nz/en-nz/stations/new-zealand/napier-airport?utm_campaign=NPET01&utm_medium=organic&utm_source=local,"""Pickup and drop off is available outside of normal business hours by prior arrangement.* Europcar Napier car rental agency, friendly service, new cars and competitive prices are part of our daily offer. Whether you want to rent a car for business or pleasure, whether you need a car (city, family or luxury car), a van or a truck, Europcar has the rental vehicle for you. Car and van rental is simplified with Europcar’s online booking on our website or app. Collecting and dropping off your vehicle has never been easier. Enjoy your ride!*Additional ""after hours"" fees may apply.""","4.6
(27) · Car rental agency"
100,Bargain Rental Cars - Mt Wellington,4.6,54,Car rental agency,"Auckland, New Zealand",+64 9 280 4069,https://www.bargainrentalcars.co.nz/,"""When you rent a vehicle from Bargain Rental Cars - Mt Wellington, you are supporting a family business 100% New Zealand owned and operated for over 20 years.

You will always be provided with a personal service that ensures you get a rental vehicle that is not only a pleasure to drive, but gives you value for money.

Services we provide: Car rental, van rental, minivan rental & people mover rental

If you are looking for a car rental agency in Mt Wellington and surround areas, look no further. Bargain Rental Cars has the friendliest service in town and maybe the best prices too.

Call us today on 09-280 4069 or book online

Remember, for cheap and reliable rental cars in Mt Wellington, think Bargain Rental Cars""","4.6
(54) · Car rental agency"
101,New Zealand Discount Car Rentals,3.9,49,Car rental agency,"Christchurch, New Zealand",+64 3 974 3818,http://www.nzdcr.co.nz/,N/A,"3.9
(49) · Car rental agency"
