,Name,Rating,Reviews,Category,Location,Contact Number,Website,Description
110,Jap Euro Auto Parts Auckland,4.7,34,Auto parts store,"Auckland, New Zealand",+64 800 555 205,http://www.japeuroautoparts.co.nz/,"""We are the leading Japanese and European auto parts dealers in the Auckland Region. We deal with wide range of New, Used and Aftermarket Japanese and European spare car parts. The major car brands we deal with are Toyota, BMW, Mercedes, Volkswagen, Honda, Lexus, Subaru, Nissan, Mitsubishi.

We carry an extensive range of Used genuine and Aftermarket spare parts for all models. If you need one of those small parts you cannot find for cheap, we are here to help you out.

We got a big warehouse with wide range of stocks and inventory. We have also got in-house parts expert who can help you in finding the right part for your broken car, contact us anytime from Monday to Saturday, between 8:00am till 5:30pm."""
111,Parts Pro,5.0,1,Auto parts store,"Auckland, New Zealand",+64 9 826 5030,N/A,N/A
112,Superparts,4.8,19,Auto body parts supplier,"Christchurch, New Zealand",+64 3 352 5464,N/A,N/A
113,Repco Feilding,4.4,160,Auto parts store,"Feilding, New Zealand",+64 6 323 2001,http://www.repco.co.nz/,N/A
114,Australian Auto Partsworld,3.9,47,Auto parts store,"Christchurch, New Zealand",+64 3 376 6158,https://partsworld.co.nz/outlets/view/3?name=australian+auto,N/A
115,Premium Parts NZ,5.0,3,Auto parts store,Open 24 hours · +64 210 392 313,N/A,http://www.premiumparts.co.nz/,"""Automotive Parts Retailer, 4WD Accessories, Trailer Parts, Motorcycle Apparel, Wheels and Tires, Clearance Items and much more.

Premium Parts NZ has a wide range of brands/products on offer. If you can't find what you're looking for please get in touch and we will do our best to source it!"""
116,All Euro Parts,4.9,22,Auto parts store,"Snells Beach, New Zealand",+64 9 425 5023,http://www.alleuroparts.co.nz/,N/A
117,PARTMASTER,4.7,42,Auto parts store,"Auckland, New Zealand",+64 9 838 9100,http://partmaster.kiwi/,N/A
118,Japanese Auto Spares,3.8,34,Auto parts store,"Christchurch, New Zealand",+64 3 342 4060,http://www.japart.co.nz/,N/A
119,PARTMASTER,4.4,32,Auto parts store,"Auckland, New Zealand",+64 9 309 0799,http://partmaster.kiwi/,N/A
120,Automotive Supplies Group NZ Ltd,5.0,8,Auto parts store,"Paraparaumu, New Zealand",+64 800 727 000,http://www.as-parts.nz/,N/A
121,Saab Parts NZ,4.0,1,Auto parts store,"Tauranga, New Zealand",+64 274 433 112,http://www.saabparts.co.nz/,N/A
122,Eastern Korean Auto Spares,3.6,87,Auto machine shop,"Auckland, New Zealand",+64 9 258 5210,http://koreancarparts.co.nz/,"""Eastern Korean Auto Spares in Otara is proud to be one of the biggest vehicle parts yards in Auckland. We have a massive range of on-site parts for Daewoo, Hyundai, Kia, Ssangyong, Holden – and if we don’t have it in stock we’ll promptly source it for you – guaranteed.

All our parts are cleaned, serviced, in complete working order and available at a competitive price.

We supply our parts throughout Auckland and can ship nationwide, call us now on 09 258 5210!

EASTERN KOREAN AUTOSPARES IS NOW DISMANTLING ALL KOREAN MADE HOLDENS INCLUDING CAPTIVA, CRUZE, BARINA, VIVA,EPICA, MALIBU"""
123,The Parts Connection,4.1,14,Auto body parts supplier,Open ⋅ Closes 4:30 pm · +64 800 707 040,N/A,http://www.partsconnection.co.nz/,N/A
124,NAPA Auto Parts Henderson,4.3,29,Auto parts store,"Auckland, New Zealand",+64 800 800 073,http://napa.co.nz/,N/A
125,American Pick Up Parts NZ,5.0,1,Used auto parts store,Open ⋅ Closes 4:30 pm · +64 27 842 7396,N/A,https://www.americanpickupparts.com/,N/A
126,Ask Parts Limited,4.6,12,Used auto parts store,"Kumeū, New Zealand",+64 210 860 6422,http://askparts.co.nz/,N/A
127,Parts R Us PartsWorld,4.0,4,Used auto parts store,"Drury, New Zealand",+64 9 217 4777,http://www.partsrus.co.nz/,N/A
128,KIWI CAR PARTS | KCP EURO,4.5,17,Auto parts store,"Auckland, New Zealand",N/A,https://www.kiwicarparts.co.nz/,"""KIWI CAR PARTS (KCP EURO) - is 100% NZ owned independent online car parts retailer of quality new aftermarket and genuine Parts for German vehicles. We supply and keep our customers satisfied with best value spare service parts and performance upgrades for Volkswagen, Audi, Skoda, Porsche and BMW. Euro Parts."""
129,Euro-American Car Parts Ltd (Euro Italian Car Parts) (EuroSpares.Org),4.8,13,Auto parts store,Opens soon ⋅ 9 am · +64 274 466 547,N/A,http://www.euroamericanparts.com/,"""Euro-American Car Parts Ltd, a leading supplier of parts for European and American vehicles, caters to both retail and trade customers across New Zealand from our Cambridge Warehouse. Our extensive inventory includes parts for a wide range of popular makes and models, from BMW and Mini to Fiat, Alfa Romeo, Volkswagen, Audi, Citroen, Peugeot, Porsche, Mercedes-Benz, Renault, Jeep, Chrysler, Dodge, and Corvette. From E30, E36, E34, E39, E46, X5, Z3, Z4, F10, F20, Mini Parts BMW Parts E46, modern BMWs and Minis, as well as Fiat Punto, 500, Panda Parts / Iveco / Ducato Parts and Hard-Engine Parts, Alfa Romeo (147, 1156, 166, 159, Mito, Giulietta, Alfasud, Alfetta, Giulia). VW & Audi, Citroen/Peugeot, Porsche Parts / Euro Spares, Jeep Spares."""
130,K D Auto Spares,2.8,39,Auto parts store,Opens soon ⋅ 9 am · +64 9 838 6846,N/A,http://www.kdautospares.com/,N/A
131,Kempy's for Mitsubishi & Toyotaz Galore,3.8,70,Auto parts store,"Auckland, New Zealand",+64 9 269 0255,https://mitsigalore.co.nz/?utm_source=googlemaps&utm_medium=auckland,"""Kempy’s Bitza Mitzy’s is the largest specialists Mitsubishi auto dismantler in New Zealand and a member of the Parts Connection Group.

Kempys is a Preferred Mitsubishi supplier to Capricorn. Because we are Mitsubishi Specialists, we have large stockholdings of:

Airtrek, Chariot, Colt, Cedia, Carisma, Grandis, Dingo, Dion, Diamante, Evo, FTO, Galant,VR4, GTO, Lancer, VRX, Legnum, Libero, Magna, Nimbus, Mirage, Outlander, RVR , L200 ute, L300 van, L400 van, Triton, Pajero 4×4, Challanger.

Used car parts available for immediate supply."""
132,JP Auto Spares,4.7,38,Car accessories store,"Auckland, New Zealand",+64 9 257 4316,N/A,N/A
133,A&C Auto Ltd,4.2,5,Used auto parts store,"Auckland, New Zealand",+64 9 688 2291,https://www.trademe.co.nz/Members/Listings.aspx?member=7449410,N/A
134,A To Z Auto Auto Spares,2.0,5,Auto parts store,"Auckland, New Zealand",+64 9 264 0820,N/A,N/A
135,Mazbits For Mazda,3.0,13,Used auto parts store,"Auckland, New Zealand",+64 9 297 7703,http://www.partsconnection.co.nz/,N/A
136,Nissin King Izuzu Partsworld - Auckland,4.4,58,Used auto parts store,"Auckland, New Zealand",+64 9 276 1265,http://www.nissinking.co.nz/,N/A
137,PARTMASTER,4.4,31,Auto parts store,"Taupō, New Zealand",+64 7 378 9644,http://partmaster.kiwi/,N/A
138,Parts West Group,5.0,2,Auto parts store,"Auckland, New Zealand",+64 9 836 1666,N/A,N/A
139,NAPA Auto Parts Dunedin,4.6,33,Auto parts store,"Dunedin, New Zealand",+64 800 800 073,http://napa.co.nz/,N/A
140,NZ Performance Wholesale Ltd,4.1,23,Auto parts store,Opens soon ⋅ 9 am · +64 6 359 2100,N/A,http://www.nzperformance.co.nz/,N/A
141,NAPA Auto Parts Napier,4.8,6,Auto parts store,"Napier, New Zealand",+64 6 834 0640,http://napa.co.nz/,N/A
142,NAPA Auto Parts Tauranga,4.5,23,Auto parts store,"Tauranga, New Zealand",+64 800 800 073,http://napa.co.nz/,N/A
143,Premium Auto Parts,4.2,5,Auto parts store,"Christchurch, New Zealand",+64 800 800 725,http://www.premiumautoparts.co.nz/,"""Premium Auto Parts is Christchurch's leading car wreckers. We have been operating for over 15 years and over the years we have built an experienced team, making the process of removing your car easier. We offer free removal of any unwanted or broken car, van, ute, 4WD or truck and pay top cash for cars on the spot.
Over the years at Premium Auto Parts we have created a simple car removal service, provide us with details of your car, we will give you an estimated price, view the car, pay top cash for your car and tow it away all on the same day. At Premium Auto Parts we also supply high quality second hand parts. We have a wide range of car parts in stock to assist all your needs to get back on the road.

Cash for cars | Car wreckers"""
144,NAPA Auto Parts Hamilton,3.8,33,Auto parts store,"Hamilton, New Zealand",+64 800 800 073,http://napa.co.nz/,N/A
145,Meta V Parts - NZ,4.6,17,Auto parts store,"Auckland, New Zealand",+64 9 820 0886,https://www.metavparts.co.nz/,"""Meta V Parts NZ (MVP-NZ) are the one-stop shop for your every need of spare parts. Specializing in automotive parts and accessories both aftermarket and genuine. We also supply a wide range of marine, motorcycle, and caravan parts & essential tools as well as products for outdoor adventures."""
146,NAPA Auto Parts Lower Hutt,4.6,13,Auto parts store,"Lower Hutt, New Zealand",+64 800 800 073,http://www.napa.co.nz/,N/A
147,Trundles Automotive,4.7,91,Auto parts store,"New Plymouth, New Zealand",+64 6 752 7952,http://www.trundlesautomotive.co.nz/,"""Trundles Automotive is a premier manufacturer and supplier of top-quality 4x4 vehicle parts and accessories in New Zealand and Australia. With over a decade of experience and a team of innovative mechanics and product engineers, they design and develop superior products that consistently outperform competitors. Every product undergoes rigorous testing to ensure it meets the highest quality standards, giving customers the confidence that they are investing in top-quality parts that will get the job done. Trundles Automotive's comprehensive range of products caters to a diverse set of customers, making them a trusted name in the industry."""
148,Nissin King Izuzu Partsworld - Christchurch,4.6,19,Used auto parts store,"Christchurch, New Zealand",+64 3 281 8435,http://www.nissinking.co.nz/,N/A
149,Ageing Auto Spares,4.8,17,Auto parts store,"Auckland, New Zealand",+64 9 951 6616,N/A,N/A
150,NAPA Auto Parts Manukau,4.2,17,Auto parts store,"Auckland, New Zealand",+64 9 263 6363,http://www.napa.co.nz/,N/A
151,Affordable Partsworld,4.6,63,Auto wrecker,"Auckland, New Zealand",+64 9 820 0900,http://www.affordableparts.co.nz/,N/A
152,BMW Parts,4.8,4,Auto body parts supplier,"Auckland, New Zealand",+64 9 884 4697,https://www.aucklandcitybmw.com/our-services/genuine-bmw-parts,N/A
153,Eden Park Car Spares,3.7,3,Auto body parts supplier,"Auckland, New Zealand",+64 9 846 4856,https://sites.google.com/view/edenpaprkcarspares/home,N/A
154,NAPA Auto Parts Otahuhu,4.3,44,Auto parts store,"Auckland, New Zealand",+64 800 800 073,https://www.napa.co.nz/,N/A
155,General automotive parts Ltd,4.2,5,Used auto parts store,"Rotorua, New Zealand",+64 7 348 6672,N/A,N/A
156,Car and Truck Parts Manukau,5.0,1,Auto parts store,"Auckland, New Zealand",+64 9 262 0977,https://www.ctponline.co.nz/,"""We are agents for Vernon & Vazey Truck Parts, BE Car Parts, and Braxton Car Lights. We are a business that specialise on selling mainly exterior parts such as Automotive Lamps, Panels & Accessories. As for Trucks we also have Mechanical parts such as Manifolds, Camshafts, Turbo's and much more. We also do engines as well, but please give us a call for more mechanical related parts for Trucks."""
157,SE Auto Parts,3.4,33,Auto parts store,"Auckland, New Zealand",+64 9 838 2980,http://www.seautoparts.co.nz/,N/A
158,All Euro Parts,5.0,8,Auto parts store,"Christchurch, New Zealand",+64 3 222 2457,http://www.alleuroparts.co.nz/,"""All Euro Parts is NZ's leading independent European vehicle parts supplier and wholesaler. We also offer an extensive range of specialist automotive tools for hire. With our quality European auto parts, specialist tool hire, great advice, and excellent service, we offer complete repair solutions for workshops and garages.

At All Euro Parts, we believe in helpful friendly service with a smile. You can guarantee our team will make sure you get the advice, parts, and tools you need every time. We have a huge range of parts on site, and with new shipments arriving weekly from overseas, we can easily source rare parts too. Our extensive network of couriers allows us to deliver nationwide within two days."""
159,Toyota New Zealand National Parts Centre,5.0,1,Car manufacturer,"Palmerston North, New Zealand",+64 800 869 682,http://toyota.co.nz/,N/A
160,Multispares,4.2,46,Truck parts supplier,"Auckland, New Zealand",+64 9 270 0715,https://www.multispares.co.nz/,N/A
161,NSTParts - North Shore Toyota Parts,3.8,9,Racing car parts store,"Auckland, New Zealand",+64 9 442 3600,https://www.nstparts.com/?utm_source=Aukcland&utm_medium=googleplaces,N/A
162,Deals on Parts,5.0,3,Auto parts store,Open 24 hours,N/A,https://www.dealsonparts.co.nz/,"""Deals on Parts is an online auto parts store. We are selling genuine and aftermarket auto parts online at affordable prices. We deal in a wide range of alternators, started motors, seatbelts, headlights, taillights, panels parts, and other accessories.

Deals on Parts is a kiwi-owned and Kiwi-operated business and we operate online to keep the parts at low cost and pass on the savings to our community. As our goal is to help New Zealanders to order parts directly from their smart devices and providing the contactless option to buy parts."""
163,Advanced for Ford & Holden,4.3,205,Auto wrecker,"Auckland, New Zealand",+64 800 777 525,https://www.fordandholdenparts.co.nz/,N/A
164,Project VR4,4.6,34,Used auto parts store,"Palmerston North, New Zealand",N/A,http://www.projectvr4.nz/,"""🚗 Project VR-4 is your Specialist in everything Legnum & Galant VR-4 (Generation 8) related. All EC/EA Chassis parts including custom and rare items of interest.

Project VR-4 is your destination Store worldwide for all of your used parts you require to complete your VR-4.

We are located in New Zealand and we ship Worldwide🌏"""
165,Capital City Parts,4.5,26,Ford dealer,"Wellington, New Zealand",+64 4 802 8750,https://www.capitalcitymotors.co.nz/service/parts-accessories,"""At Capital City Motors we challenge ourselves to provide you with a level of service unmatched elsewhere.

We have been serving the Wellington Region since 1923, We're proud of our long history & the strong links that we have developed in the community over the past 98 years. Above all, providing our customers with an exceptional experience is what drives us to succeed! We’re proud to continue a long tradition of providing quality vehicles and outstanding customer service here."""
166,Nissin King Izuzu PartsWorld,4.3,63,Used auto parts store,"Hamilton, New Zealand",+64 7 846 6421,http://www.nissinking.co.nz/,N/A
167,BNT Automotive,4.7,40,Auto parts store,"Levin, New Zealand",+64 6 367 5039,https://www.bntnz.co.nz/,N/A
168,Christchurch Nissan - Parts Department,4.3,15,Auto parts store,"Christchurch, New Zealand",+64 3 595 6821,http://www.christchurchnissan.co.nz/,N/A
169,Mega Auto Parts 2008 Ltd,4.5,138,Auto wrecker,"Auckland, New Zealand",+64 800 505 007,http://megaautoparts.co.nz/,"""Mega Autos is your go-to destination for professional, environmentally-friendly car recycling services. We specialize in turning used, damaged, and end-of-life vehicles into valuable auto parts, promoting sustainability while offering quality components to our customers.

Our commitment at Mega Autos is to create a greener planet, one car at a time. We meticulously dismantle each vehicle, ensuring all reusable parts are recovered and all waste is properly managed. From engines to axles, each part of your car gets a second chance, reducing landfill waste and resource consumption."""
170,"Mista Bitzys in Drury - Mitsubishi, Hyundai & KIA Parts",4.2,56,Used auto parts store,"Drury, New Zealand",+64 9 295 9007,https://www.mistabitzys.co.nz/,"""Located in Drury, Mista Bitzys specializes in providing an extensive selection of used and new parts for various Korean and Japanese car brands, including Mitsubishi, Hyundai, and Kia. As New Zealand's largest dealer, we stock a wide range of parts for popular Mitsubishi models such as Triton, Outlander, and Pajero, as well as Hyundai models like Santa Fe and Tucson, and Kia vehicles like Sorento and Sportage.

Whether you need parts for newer models or older Hyundai and Mitsubishi vehicles, Mista Bitzys has you covered. Our vast inventory ensures you'll find the right part to keep your car running smoothly. Visit us for high-quality, affordable car parts and enjoy exceptional service from our experienced team.

Contact us today 09-295 9007"""
171,Supercheap Auto Masterton,4.4,366,Auto parts store,"Masterton, New Zealand",+64 6 370 3308,https://www.supercheapauto.co.nz/stores/details/sca-masterton?utm_source=google&utm_medium=organic&utm_campaign=gbpm-masterton,N/A
172,"AAWreckers - Audi, VW, Peugeot, Citroen, Saab, Volvo, Skoda",4.5,37,Used auto parts store,"Auckland, New Zealand",+64 9 829 2618,https://aawreckers.co.nz/,N/A
173,Autokraft 4x4,4.6,58,Car accessories store,"Palmerston North, New Zealand",+64 6 359 0102,http://www.autokraft4x4.co.nz/,N/A
174,Fast Parts Truck & Auto Spares,3.0,1,Used auto parts store,"Kingseat, New Zealand",+64 9 236 3278,N/A,N/A
175,Kiwi Auto Parts,4.4,7,Used auto parts store,"Milton, New Zealand",+64 20 4145 4391,https://www.facebook.com/Otagocash4cars/,"""Kiwi Auto Parts, a name in the car wreckage Industry you can trust. over the years we have built a network of satisfying ideals to help individuals who are interested in selling their used cars or removal easy and hassle-free. With a contemporary approach, we equipped with the best tools to ensure your safety and satisfaction. Also, we provide you with fairly used vehicle parts that are well maintained by our experienced and professional experts. We have built a great customer exited team who are working with our customers to ensure effective customer service and support."""
176,Honda Store Newmarket,4.2,374,Honda dealer,"Auckland, New Zealand",+64 9 890 9030,https://www.honda.co.nz/find-a-store/auckland/honda-store-newmarket/,"""We offer full Dealership facilities including New Honda Sales and Used Vehicle Sales specialising in New Zealand new late model Honda's. In addition we have a full range of genuine Honda Parts and can arrange a WOF and re-licence for your vehicle through our Service Department."""
177,Tasman Parts World,3.9,82,Auto wrecker,"Richmond, New Zealand",+64 3 544 6040,https://partsworld.co.nz/outlets/view/20?name=tasman,N/A
178,Automotive Parts,4.0,8,Auto parts store,"Rangiora, New Zealand",+64 3 313 7216,N/A,N/A
179,Car Wreckers Wellington,3.5,52,Auto wrecker,"Lower Hutt, New Zealand",+64 800 649 648,http://www.carwreckerswellington.net/?utm_source=google&utm_medium=maps&utm_campaign=google+maps,N/A
180,Auto Part Distributors,5.0,1,Car repair and maintenance service,"Auckland, New Zealand",+64 9 277 6777,http://www.autoparts.co.nz/,N/A
181,EV Parts NZ,3.7,3,Auto parts store,"Papakura, New Zealand",+64 21 737 647,http://evpartsnz.co.nz/,"""Being a part of i-Tech Automotive (Ltd.), EV Parts NZ is specialized in sales of Genuine and OEM Electric and Hybrid vehicle replacement parts whether it is brand new or second hand reconditioned. We have a wide range of availability for European, Japanese and Korean EV and Hybrid vehicle parts.

The best quality parts and service for the best prices in the whole of NZ guaranteed!"""
182,NAPA Auto Parts Whangarei,4.4,14,Auto parts store,"Whangārei, New Zealand",+64 9 438 7319,http://napa.co.nz/,N/A
183,ARB 4x4 Accessories | Christchurch,4.2,14,Truck topper supplier,"Christchurch, New Zealand",+64 800 159 999,http://www.arb.co.nz/,N/A
184,Northland Parts Warehouse,4.2,113,Auto wrecker,"Whangārei, New Zealand",+64 9 430 3999,http://www.npw.co.nz/,N/A
185,BM Workshop & Parts Christchurch,5.0,71,Mechanic,"Christchurch, New Zealand",+64 3 365 4872,https://bmworkshop.co.nz/branch/christchurch/,N/A
186,Auto Electrical Spares,4.6,55,Auto electrical service,"Lincoln, New Zealand",+64 9 838 6700,https://aespares.co.nz/,N/A
187,Honda Bits,4.4,67,Auto wrecker,"Lower Hutt, New Zealand",+64 4 568 4265,https://hondaparts.co.nz/,N/A
188,Partmaster Head Office,4.5,8,Auto parts store,"Auckland, New Zealand",+64 800 727 862,https://www.partmaster.co.nz/,N/A
189,Mazda New Zealand Parts Distribution Centre,4.5,2,Warehouse,"Auckland, New Zealand",N/A,N/A,N/A
190,Euro 2000 Car Parts,N/A,N/A,No reviews,"Auckland, New Zealand",+64 9 276 8498,http://www.begroup.co.nz/,N/A
191,Standard Auto Parts,N/A,N/A,No reviews,"Mount Maunganui, New Zealand",+64 7 575 8692,N/A,N/A
192,Auto Connect,N/A,N/A,No reviews,"Lower Hutt, New Zealand",+64 4 589 4085,http://www.spoilers.co.nz/,N/A
193,Komail Auto Recyclers,4.5,244,Auto wrecker,"Auckland, New Zealand",+64 800 707 099,http://www.carswrecker.co.nz/,"""Komail Auto Recycler is the leading car wreckers and car removal company in Auckland Region. We provide our superior quality services all over the North Island, including Northland, Coromandel, Bay of Plenty, Auckland, and the Waikato. We strive to provide the best car removal experience possible, and making our customers happy is our top priority. If you have a car, truck, van, Ute, SUV, or 4×4 that needs removing and wrecking, don’t hesitate to call us"""
194,All Second Hand Car Parts,3.5,4,Auto parts store,"Palmerston North, New Zealand",+64 800 123 666,N/A,N/A
195,Auto Distributors New Zealand,N/A,N/A,No reviews,"Auckland, New Zealand",+64 9 526 7024,https://www.peugeot-newzealand.co.nz/,N/A
196,Parts Online NZ,N/A,N/A,No reviews,Open 24 hours,N/A,https://partsonline.nz/,"""Parts Online NZ is owned and operated in New Zealand. All our products are stocked locally, and ship same or next business day by overnight target courier. You get the parts you need fast, and at a great price.

At Parts Online NZ we stand behind our products. We have hand picked each and every product we sell and have personally inspected every product. Items are sold new and in original packaging if applicable."""
197,Taha Auto,4.2,6,Auto body parts supplier,"Christchurch, New Zealand",+64 800 576 911,N/A,N/A
198,Autostore,5.0,6,Auto wrecker,"Te Aroha West, New Zealand",+64 7 824 6060,N/A,N/A
199,UD Truck Distributors (NZ) Ltd,4.0,45,Trucking company,"Auckland, New Zealand",+64 9 250 1800,https://www.udtrucks.com/newzealand/?utm_campaign=local%20seo&utm_medium=gmb&utm_source=google,"""The Ultimate in Dependability.

UD Trucks gives you best of both worlds. Robust Japanese engineering with all the advantages of European innovation, technology, and design, and at a price point that makes business sense.
UD Trucks will always go the extra mile. We are known for leading the way in sustainability, uptime, drive-ability, and productivity. From the fuel-efficient technology under the bonnet to the sophisticated safety features that put people first, both in and out the cab.
UD Trucks have always been the driver’s choice. Our ergonomically designed interiors and modern dash layout provides comfort for driver on every job, no matter the terrain. They offer an experience that drivers love."""
200,Driveline Ltd,3.9,17,Diesel engine dealer,"Christchurch, New Zealand",+64 3 348 6309,http://www.drivelineltd.co.nz/,N/A
201,Right Parts Limited,N/A,N/A,No reviews,Open ⋅ Closes 6:30 pm · +64 21 730 905,N/A,http://www.rightparts.co.nz/,N/A
202,Miles Toyota,4.4,455,Auto parts store,"Christchurch, New Zealand",+64 3 379 0610,https://www.toyota.co.nz/miles-toyota/?addealer=miles-toyota,"""Miles Toyota is Christchurch's award-winning Toyota Store, providing new and used Toyota vehicles. We're proud to offer the Toyota Signature Class range, as well assist you with your vehicle servicing and parts needs.

We're based in the heart of Christchurch, with a second branch by the Christchurch Airport.

We look forward to seeing you soon!"""
203,Honda Store Wellington,4.4,192,Car repair and maintenance service,"Wellington, New Zealand",+64 4 913 4000,https://www.honda.co.nz/find-a-store/wellington-region/honda-store-wellington/,N/A
204,Botany Toyota,4.4,452,Toyota dealer,"Auckland, New Zealand",+64 9 884 8307,https://www.toyota.co.nz/botany-toyota/,"""Botany Toyota is part of New Zealand's largest Toyota dealership group, the 100% NZ owned & operated Manukau Toyota Group, and we are proud to be the primary destination for Toyota shoppers in East Auckland. Our award-winning showroom and service centre have been designed to offer a friendly and helpful environment that puts a premium on service to our customers. Whether you are visiting us to buy a new or used Toyota, organise finance and/or insurance, get a WoF, buy genuine Toyota parts, trade-in your existing car or to arrange a vehicle service ... we can help you!

*Unfortunately we no longer accept cash as a method of payment."""
205,Team Hutchinson Ford,4.7,665,Auto parts store,"Christchurch, New Zealand",+64 3 379 3440,http://www.teamhutchinsonford.com/,"""WE ARE OPEN

At Team Hutchinson Ford customer satisfaction is more important than sales targets and budgets because we believe that if our customers are happy then our business will be successful. It’s something my father and grandfather were passionate about and it’s also our team’s core value today.
Visit our showroom or service team. Chances are you’ll be very happy you did.

Corner of Tuam Street and Colombo Street, across from the Bus Exchange.
Entrances from Tuam Street and St Asaph Street. Parking onsite.

We sell the full range of Ford cars, suv’s utes and vans and are also the south islands # 1 Mustang dealer."""
206,Trucks New Zealand,4.3,12,Truck dealer,"Christchurch, New Zealand",+64 508 878 2569,https://www.trucksnz.co.nz/,N/A
207,Gazley,4.2,335,Car dealer,"Wellington, New Zealand",+64 4 381 3000,http://www.gazley.com/,"""Gazley is the home of some of the worlds greatest marques. With over 25 years in the Capital, Gazley Motor Group is a staunchly proud Wellington based business with a long history of quality customer service. Representing Volkswagen, Skoda, Mercedes-Benz, Mitsubishi, Chrysler, Jeep, Dodge, Fiat, Alfa Romeo, MG, SEAT, CUPRA & Ram in Wellington for Sales, Parts & Service."""
208,KOR Equipment Solutions New Zealand,N/A,N/A,No reviews,"Hamilton, New Zealand",+64 800 567 691,https://kor.com.au/?utm_source=gbp&utm_medium=organic&utm_campaign=hamilton,"""KOR is the exclusive distributor of Cappellotto and Schwarze high-quality industrial equipment for Australia and New Zealand.
KOR provides solutions for a range of vacuum trucks, excavation trucks, hydrovac trucks, combination sewer and drain cleaning trucks, and industrial sweeper products.
We support many contractors and municipalities who service waste, environmental, mining, civil and industrial industries.
KOR also work with other OEM partners such as Uraca, TST, KEG, Polyflow and Cobra that supply accessories.
We have a national footprint to support customers and focus on creating long-term value through the importation of 'cutting edge' global technologies, together with a range of service offerings."""
209,BikeBitz.co.nz,4.8,12,Motorcycle parts store,"Whanganui, New Zealand",N/A,https://www.bikebitz.co.nz/,"""Established in 2019, BikeBitz is a one-stop shop for all your motorbike parts needs. Located at 47 Keith Street, Wanganui 4500, New Zealand, BikeBitz caters to motorcycle enthusiasts throughout the country. With a comprehensive range of new and used parts, BikeBitz is your trusted source for keeping your motorbike in top condition."""
210,FORZA New Zealand (NZ Motor Factory Ltd),4.5,249,Motor scooter dealer,"Auckland, New Zealand",+64 9 273 8883,http://www.forza.nz/,"""Being 100% NZ Owned, FORZA NZ (also known as NZ Motor Factory) has grown to be a reputable importer, wholesaler and retailer of On-Road & Off-Road Motorcycles, Scooters and ATV Quads since 2006. Over 20,000 bikes sold with happy customers. It is the home of Forza Moto, Suzuki, TNT Moto, YADEA EV, CINECO EV, Piaggio, Aprilia, Lambretta, Keeway, SYM, FORZA Dirt Bikes, FORZA Pit Bikes, KAYO ATV Quads, KAYO Go-Karts / Buggy, STACYC kids Electric Balance Bike, HARLEY-DAVIDSON kids Electric Balance Bike and more.
Our four main business areas:
- Motorcycles, Scooters, Dirt Bikes, ATV
- Safety & Protection Gears
- Parts & Accessories
- Repairs & Service (workshop)

We give our 100% effort to take care of you and your loved bikes."""
211,Pacific Toyota Tauranga,4.4,309,Auto parts store,"Tauranga, New Zealand",+64 7 578 1099,http://www.pacifictoyota.co.nz/,"""Located in the heart of Tauranga, Tauriko, Whakatāne and Bayfair, our award-winning dealership group is one of the leading businesses in the Bay of Plenty. Our large and diverse customer base covers the vibrant mix of businesses, communities, rural people and families that make up this amazing region.

We are proud to represent the Toyota brand along with a fantastic range of new Toyota vehicles and a huge selection of top quality pre-owned cars, including Toyota's excellent Signature Class range.

We also provide outstanding vehicle servicing, repairs and WOFs, carried out by a fully trained and competent team using Genuine Toyota Parts."""
212,UK Caravans Ltd,4.3,209,RV supply store,"Christchurch, New Zealand",+64 3 338 5739,http://www.uk-caravans.co.nz/,"""UK Caravans Ltd is a one-stop shop for caravan enthusiasts in Christchurch. They offer caravan sales, repairs, parts, and accessories, alongside caravan storage facilities.
Whether you're looking for a new caravan to explore New Zealand's scenery or reliable maintenance for your current one - the team @ UK Caravans Ltd has something for you
#ukcaravans"""
213,Parts Store,N/A,N/A,No reviews,"Wānaka, New Zealand",N/A,https://alpineauto.co.nz/,N/A
214,Mega Motorcycle Centre,4.5,293,Motorcycle shop,"Christchurch, New Zealand",+64 3 377 1881,http://www.megagear.co.nz/,N/A
215,Kiwi Auto Motors,4.6,115,Motor vehicle dealer,"Lower Hutt, New Zealand",+64 210 442 032,http://www.kiwiautomotors.co.nz/,N/A
216,Midas New Plymouth,4.7,113,Car repair and maintenance service,"New Plymouth, New Zealand",+64 6 758 2084,N/A,"""Welcome to New Plymouth's home for service, maintenance and repair work for any car, van, ute, or SUV.

If your car needs a little care and attention, bring it in to Brenan Emson and the team – we’ve been providing trusted mechanical service, maintenance and repair work for vehicles across New Plymouth, Fitzroy, Bell Block and the wider New Plymouth area for years.

Ask about the peace of mind inspections we offer as part of most of our vehicle servicing packages or check out the range of vehicle repair services we can provide.

Call today to see how we can help you enjoy a safer, more reliable car.

Welcome to the home of peace of mind motoring in New Plymouth."""
217,Miles Kia,4.5,177,Auto parts store,"Christchurch, New Zealand",+64 3 366 6622,https://www.kia.co.nz/find-a-dealer/dealer/cockram-motors/,"""Welcome to your Christchurch Kia dealership. Miles Kia is proud to be the official home of Kia in Christchurch, New Zealand. Start your journey today and visit us for new and used Kia vehicles, as well as servicing, parts, accessories and more.

We look forward to meeting you!"""
